name,cpu_milli,memory_mib,num_gpu,gpu_milli,gpu_spec,qos,pod_phase,creation_time,deletion_time,scheduled_time
openb-pod-0048,12000,16384,1,1000,,LS,Running,9993753,10061253,9993753
openb-pod-0049,4000,24576,1,1000,,LS,Succeeded,9997763,10001500,9997763
openb-pod-0050,3152,5600,1,1000,,BE,Failed,9999611,9999877,9999611
openb-pod-0051,12000,49152,1,1000,,LS,Succeeded,9999740,9999855,9999740
openb-pod-0052,3152,5600,1,1000,,BE,Failed,9999867,10000083,9999867
openb-pod-0053,8000,16384,1,1000,,LS,Running,10000483,10002335,10000483
openb-pod-0054,11908,47104,1,470,,LS,Running,10000836,10002563,10000838
openb-pod-0055,11908,47104,1,1000,,BE,Pending,10001278,10001403,
openb-pod-0056,3152,5600,1,810,,BE,Failed,10001573,10014257,10001606
openb-pod-0057,12000,24576,1,1000,,LS,Running,10001854,10043044,10002793
openb-pod-0058,16000,32768,1,1000,,LS,Running,10002519,10003360,10002522
openb-pod-0059,12000,16384,1,1000,,LS,Running,10002813,10004193,10003093
openb-pod-0060,12000,24576,1,1000,,LS,Failed,10003114,10006715,10004543
openb-pod-0061,4152,10600,1,810,,BE,Failed,10004799,10006010,10004799
openb-pod-0062,3152,5600,1,1000,,BE,Failed,10005625,10005773,10005625
openb-pod-0063,3152,5600,1,1000,,BE,Failed,10008375,10008605,10008375
openb-pod-0064,3152,5600,1,1000,,BE,Failed,10009087,10009227,10009087
openb-pod-0065,18708,64512,1,1000,,LS,Running,10009222,10009356,10009256
openb-pod-0066,18708,64512,1,1000,,LS,Running,10011081,10011118,10011083
openb-pod-0067,3152,5600,1,1000,,BE,Failed,10011177,10011318,10011177
openb-pod-0068,16000,65536,1,1000,,LS,Running,10011398,10019079,10011400
openb-pod-0069,8000,16384,1,1000,,LS,Running,10011759,10012978,10011761
openb-pod-0070,16000,65536,1,1000,,LS,Running,10013436,10014656,10013712
openb-pod-0071,3152,5600,1,1000,,BE,Failed,10013677,10013860,10013677
openb-pod-0072,16000,32768,1,1000,,LS,Running,10013797,10015126,10014212
openb-pod-0073,8000,30517,1,320,,BE,Running,10014736,10015168,10014736
openb-pod-0074,6000,6144,1,460,,LS,Running,10014814,10015743,10014814
openb-pod-0075,4000,15258,1,320,,BE,Running,10014946,10015737,10014947
openb-pod-0076,8000,30517,1,650,,BE,Running,10015701,10015911,10015701
openb-pod-0077,4152,10600,1,550,,BE,Running,10015833,10015943,10015833
openb-pod-0078,11908,47104,1,1000,,BE,Pending,10015849,10015908,
openb-pod-0079,4152,10600,1,550,,BE,Failed,10016935,10016962,10016935
openb-pod-0080,3152,5600,1,1000,,BE,Failed,10017162,10017394,10017162
openb-pod-0081,11908,47104,1,1000,,BE,Running,10017643,10019780,10017677
openb-pod-0082,4152,10600,1,270,,BE,Failed,10017811,10018193,10017811
openb-pod-0083,3152,5600,1,810,,BE,Failed,10018219,10018320,10018284
openb-pod-0084,11908,47104,1,1000,,BE,Pending,10018225,10018268,
openb-pod-0085,3152,5600,1,810,,BE,Failed,10018378,10018530,10018379
openb-pod-0086,8000,30517,1,470,,BE,Running,10018598,10018814,10018599
openb-pod-0087,3152,5600,1,1000,,BE,Failed,10018784,10019004,10018784
openb-pod-0088,18708,64512,1,1000,,LS,Running,10019718,10019822,10019753
openb-pod-0089,4152,10600,1,810,,BE,Failed,10019860,10024488,10019861
openb-pod-0090,18708,64512,1,1000,,LS,Pending,10019975,10020052,
openb-pod-0091,8000,30517,1,320,,BE,Pending,10020010,10020025,
openb-pod-0092,8000,30517,1,320,,BE,Running,10020315,10020891,10020315
openb-pod-0093,3152,5600,1,1000,,BE,Failed,10020698,10020979,10020698
openb-pod-0094,15700,58368,1,1000,,LS,Pending,10021257,10021325,
openb-pod-0095,9810,41560,1,1000,,LS,Pending,10022297,10022402,
openb-pod-0096,12000,16384,1,1000,,LS,Running,10022793,10023874,10022794
openb-pod-0097,8000,30517,1,470,,BE,Pending,10024130,10024189,
openb-pod-0098,8000,30517,1,320,,BE,Running,10024695,10024740,10024695
openb-pod-0099,3152,5600,1,1000,,BE,Failed,10024890,10025087,10024890
openb-pod-0100,18708,64512,1,1000,,LS,Pending,10025123,10025179,
openb-pod-0101,18708,64512,1,1000,,LS,Pending,10025364,10025457,
openb-pod-0102,3152,5600,1,1000,,BE,Failed,10025530,10025731,10025530
openb-pod-0103,4000,15258,1,160,,BE,Running,10027236,10030850,10027236
openb-pod-0104,4000,15258,1,110,,BE,Running,10027236,10030850,10027236
openb-pod-0105,12000,49152,1,1000,,LS,Failed,10027446,10049201,10027446
openb-pod-0106,8000,30517,1,470,,BE,Running,10027539,10027644,10027572
openb-pod-0107,4152,10600,1,550,,BE,Failed,10027911,10193322,10027911
openb-pod-0108,3152,5600,1,590,,BE,Failed,10028213,10028222,10028213
openb-pod-0109,3152,5600,1,1000,,BE,Failed,10028677,10028888,10028678
openb-pod-0110,3152,5600,1,1000,,BE,Failed,10029041,10029258,10029041
openb-pod-0111,3152,5600,1,810,,BE,Failed,10030787,10030939,10030787
openb-pod-0112,3152,5600,1,1000,,BE,Failed,10030840,10031610,10030840
openb-pod-0113,8000,30517,1,470,,BE,Pending,10031736,10031864,
openb-pod-0114,9810,41560,1,1000,,LS,Running,10032059,10032298,10032096
openb-pod-0115,3152,5600,1,1000,,BE,Failed,10032623,10032782,10032623
openb-pod-0116,8000,30517,1,470,,BE,Pending,10032726,10032910,
openb-pod-0117,3152,5600,1,1000,,BE,Failed,10032792,10032933,10032792
openb-pod-0118,12000,32768,1,1000,,LS,Running,10033656,10034855,10033656
openb-pod-0119,6000,6144,1,460,,LS,Running,10033713,10034312,10033713
openb-pod-0120,8000,30517,1,320,,BE,Running,10033926,10053351,10033926
openb-pod-0121,3152,5600,1,1000,,BE,Failed,10034479,10034765,10034479
openb-pod-0122,88000,327680,8,1000,,Burstable,Failed,10034615,10035454,10034615
openb-pod-0123,12000,24576,1,1000,,Guaranteed,Running,10035396,10036353,10035396
openb-pod-0124,12000,15360,1,1000,,LS,Running,10036115,10036713,10036115
openb-pod-0125,3152,5600,1,1000,,BE,Failed,10036187,10036330,10036187
openb-pod-0126,4000,15258,1,220,,BE,Running,10036552,10037685,10036556
openb-pod-0127,3152,5600,1,1000,,BE,Failed,10036751,10036830,10036751
openb-pod-0128,3152,5600,1,810,,BE,Failed,10036875,10090599,10036875
openb-pod-0129,3152,5600,1,1000,,BE,Failed,10037662,10037952,10037729
openb-pod-0130,12000,24576,1,1000,,Burstable,Failed,10037976,10041389,10037976
openb-pod-0131,4000,15258,1,220,,BE,Running,10038341,10038886,10038347
openb-pod-0132,8000,30517,1,470,,BE,Running,10039366,10039699,10039539
openb-pod-0133,8000,30517,1,470,,BE,Running,10039428,10039699,10039564
openb-pod-0134,4000,24576,1,1000,,LS,Succeeded,10039573,10043761,10039574
openb-pod-0135,18708,64512,1,1000,,LS,Running,10039634,10039739,10039637
openb-pod-0136,8000,30517,1,470,,BE,Running,10039873,10040018,10039974
openb-pod-0137,18708,64512,1,1000,,LS,Pending,10040014,10040099,
openb-pod-0138,8000,30517,1,320,,BE,Running,10040570,10059872,10040570
openb-pod-0139,8000,30517,1,220,,BE,Running,10040740,10059930,10040741
openb-pod-0140,18708,64512,1,1000,,LS,Pending,10040966,10041013,
openb-pod-0141,8000,16384,1,1000,,LS,Running,10041157,10042958,10041159
openb-pod-0142,3152,5600,1,1000,,BE,Failed,10041292,10041316,10041292
openb-pod-0143,3152,5600,1,1000,,BE,Failed,10041344,10041514,10041344
openb-pod-0144,3152,5600,1,1000,,BE,Failed,10041954,10042152,10041954
openb-pod-0145,8000,30517,1,470,,BE,Running,10042650,10043285,10042685
openb-pod-0146,18708,64512,1,1000,,LS,Running,10043265,10044780,10043298
openb-pod-0147,12000,16384,1,1000,,LS,Running,10046254,10056753,10046254
openb-pod-0148,6000,12288,1,460,,LS,Running,10046254,10054053,10046254
openb-pod-0149,3152,5600,1,1000,,BE,Failed,10047020,10047140,10047020
openb-pod-0150,3152,5600,1,1000,,BE,Failed,10047038,10047167,10047038
openb-pod-0151,3152,5600,1,1000,,BE,Failed,10047603,10047726,10047603
openb-pod-0152,12000,15360,1,1000,,LS,Running,10049677,10050216,10049677
openb-pod-0153,4000,31250,1,1000,,LS,Running,10050573,10051530,10050573
openb-pod-0154,3152,5600,1,1000,,BE,Failed,10051156,10051315,10051156
openb-pod-0155,16000,32768,1,1000,,LS,Running,10051357,10052739,10051360
openb-pod-0156,3152,5600,1,1000,,BE,Failed,10052128,10052291,10052128
openb-pod-0157,16000,32768,1,1000,,LS,Running,10052438,10053817,10052441
openb-pod-0158,18708,64512,1,1000,,LS,Running,10052820,10052911,10052822
openb-pod-0159,18708,64512,1,1000,,LS,Pending,10053055,10053147,
openb-pod-0160,8000,30517,1,470,,BE,Running,10053065,10053366,10053307
openb-pod-0161,3152,5600,1,1000,,BE,Failed,10053622,10053853,10053622
openb-pod-0162,16000,32768,1,1000,,LS,Running,10054239,10055257,10054241
openb-pod-0163,3152,5600,1,1000,,BE,Failed,10055123,10055357,10055123
openb-pod-0164,6000,22888,1,160,,BE,Running,10056973,10075375,10056973
openb-pod-0165,3152,5600,1,1000,,BE,Failed,10057657,10057940,10057657
openb-pod-0166,3152,5600,1,1000,,BE,Failed,10058979,10059258,10058979
openb-pod-0167,8000,30517,1,650,,BE,Running,10059143,10072223,10059144
openb-pod-0168,3152,5600,1,1000,,BE,Failed,10059169,10059383,10059169
openb-pod-0169,4000,15258,1,220,,BE,Running,10059451,10076839,10059451
openb-pod-0170,3152,5600,1,1000,,BE,Failed,10059776,10060089,10059776
openb-pod-0171,3152,5600,1,1000,,BE,Failed,10059888,10060222,10059888
openb-pod-0172,4000,15258,1,160,,BE,Running,10060370,10062545,10060370
openb-pod-0173,6000,18432,1,460,,LS,Running,10060714,10063085,10060714
openb-pod-0174,8000,65536,1,1000,,LS,Running,10060718,10064437,10060721
openb-pod-0175,12000,24576,1,1000,,Burstable,Succeeded,10061136,10206394,10061136
openb-pod-0176,4000,30517,1,320,,BE,Running,10062602,10068672,10062603
openb-pod-0177,3152,5600,1,1000,,BE,Failed,10065188,10065418,10065192
openb-pod-0178,3152,5600,1,1000,,BE,Failed,10065461,10065832,10065462
openb-pod-0179,3152,5600,1,1000,,BE,Failed,10066995,10067337,10066995
openb-pod-0180,3152,5600,1,1000,,BE,Failed,10068089,10068441,10068089
openb-pod-0181,8000,65536,1,1000,,LS,Running,10071515,10072359,10071517
openb-pod-0182,12000,24576,1,1000,,Burstable,Failed,10072956,10142269,10072956
openb-pod-0183,16000,32768,1,1000,,LS,Succeeded,10072977,10072996,10072978
openb-pod-0184,3152,5600,1,1000,,BE,Failed,10073827,10074020,10073827
openb-pod-0185,3152,5600,1,1000,,BE,Failed,10075751,10075949,10075751
openb-pod-0186,3152,5600,1,1000,,BE,Failed,10076540,10076841,10076540
openb-pod-0187,3152,5600,1,1000,,BE,Failed,10076597,10076904,10076598
openb-pod-0188,4000,15258,1,220,,BE,Running,10077065,10084784,10077066
openb-pod-0189,3152,5600,1,1000,,BE,Failed,10077174,10077492,10077175
openb-pod-0190,3152,5600,1,1000,,BE,Failed,10079174,10079481,10079174
openb-pod-0191,3152,5600,1,1000,,BE,Failed,10079912,10080134,10079913
openb-pod-0192,8000,16384,1,1000,,LS,Running,10081543,10082559,10081546
openb-pod-0193,3152,5600,1,1000,,BE,Failed,10082034,10082233,10082034
openb-pod-0194,4000,24576,1,1000,,LS,Succeeded,10082398,10086587,10082398
openb-pod-0195,4000,31250,1,1000,,LS,Running,10084139,10085042,10084140
openb-pod-0196,3152,5600,1,1000,,BE,Failed,10086450,10086635,10086450
openb-pod-0197,3152,5600,1,1000,,BE,Failed,10087455,10087648,10087455
openb-pod-0198,11908,47104,1,470,,LS,Running,10087711,10088979,10087747
openb-pod-0199,3152,5600,1,1000,,BE,Failed,10087754,10087980,10087754
openb-pod-0200,11908,47104,1,1000,,BE,Running,10087849,10088060,10088024
openb-pod-0201,4000,16384,1,1000,,LS,Running,10088207,10088264,10088207
openb-pod-0202,12000,24576,1,1000,,LS,Failed,10088963,10089478,10088963
openb-pod-0203,3152,5600,1,1000,,BE,Failed,10089624,10089859,10089625
openb-pod-0204,18708,64512,1,1000,,LS,Running,10089802,10090873,10089977
openb-pod-0205,4000,30517,1,230,,BE,Running,10090200,10090383,10090268
openb-pod-0206,3152,5600,1,1000,,BE,Failed,10090303,10090491,10090303
openb-pod-0207,11908,47104,1,470,,LS,Running,10090557,10090685,10090592
openb-pod-0208,11908,47104,1,470,,LS,Pending,10090598,10090685,
openb-pod-0209,18708,64512,1,1000,,LS,Running,10090801,10091982,10090942
openb-pod-0210,4000,15258,1,320,,BE,Running,10091052,10092265,10091056
openb-pod-0211,3152,5600,1,1000,,BE,Failed,10091074,10091286,10091074
openb-pod-0212,11908,47104,1,470,,LS,Running,10091866,10094509,10091903
openb-pod-0213,8000,30517,1,220,,BE,Running,10091963,10094788,10092033
openb-pod-0214,8000,30517,1,470,,BE,Pending,10092457,10093834,
openb-pod-0215,4000,30517,1,230,,BE,Running,10093366,10093724,10093608
openb-pod-0216,3152,5600,1,1000,,BE,Failed,10093458,10093632,10093459
openb-pod-0217,8000,32768,1,1000,,LS,Running,10094677,10095784,10094683
openb-pod-0218,3152,5600,1,1000,,BE,Failed,10095374,10095540,10095374
openb-pod-0219,4000,15258,1,320,,BE,Running,10096044,10096884,10096045
openb-pod-0220,3152,5600,1,1000,,BE,Failed,10096319,10096666,10096319
openb-pod-0221,11908,47104,1,470,,LS,Running,10096985,10100654,10097018
openb-pod-0222,16000,32768,1,1000,,LS,Running,10097319,10098637,10097321
openb-pod-0223,16000,32768,1,1000,,LS,Succeeded,10098174,10101797,10098174
openb-pod-0224,18708,64512,1,1000,,LS,Running,10099853,10100376,10099855
openb-pod-0225,4000,30517,1,230,,BE,Pending,10100497,10100780,
openb-pod-0226,3152,5600,1,1000,,BE,Failed,10101508,10101746,10101508
openb-pod-0227,3152,5600,1,1000,,BE,Failed,10101656,10101808,10101656
openb-pod-0228,11908,47104,1,470,,LS,Running,10101831,10107541,10101833
openb-pod-0229,3152,5600,1,1000,,BE,Failed,10102468,10102684,10102468
openb-pod-0230,3152,5600,1,1000,,BE,Failed,10102699,10102892,10102699
openb-pod-0231,8000,30517,1,110,,BE,Running,10103062,10111426,10103063
openb-pod-0232,8000,30517,1,320,,BE,Running,10103067,10113879,10103068
openb-pod-0233,8000,30517,1,320,,BE,Running,10103070,10113887,10103070
openb-pod-0234,8000,30517,1,220,,BE,Running,10103080,10124386,10103082
openb-pod-0235,12000,24576,1,1000,,Burstable,Succeeded,10103554,10103831,10103555
openb-pod-0236,4000,30517,1,230,,BE,Pending,10103654,10103768,
openb-pod-0237,4000,30517,1,230,,BE,Running,10103657,10103996,10103761
openb-pod-0238,8000,30517,1,470,,BE,Running,10103830,10104248,10104036
openb-pod-0239,8000,32768,1,1000,,LS,Running,10104920,10145444,10104922
openb-pod-0240,11908,47104,1,470,,LS,Running,10105081,10105133,10105084
openb-pod-0241,3152,5600,1,1000,,BE,Failed,10105616,10105831,10105616
openb-pod-0242,3152,5600,1,1000,,BE,Failed,10106099,10106277,10106099
openb-pod-0243,3152,5600,1,1000,,BE,Failed,10106214,10106384,10106214
openb-pod-0244,3152,5600,1,1000,,BE,Failed,10106404,10106586,10106405
openb-pod-0245,3152,5600,1,1000,,BE,Failed,10106755,10106930,10106755
openb-pod-0246,3152,5600,1,810,,BE,Failed,10107108,10107356,10107108
openb-pod-0247,3152,5600,1,1000,,BE,Failed,10107156,10107363,10107157
openb-pod-0248,4152,10600,1,550,,BE,Failed,10107360,10107476,10107360
openb-pod-0249,3152,5600,1,1000,,BE,Failed,10107678,10107843,10107678
openb-pod-0250,4000,15258,1,160,,BE,Running,10107700,10108957,10107701
openb-pod-0251,8000,16384,1,1000,,LS,Running,10108119,10113400,10108121
openb-pod-0252,18708,64512,1,1000,,LS,Running,10108195,10108386,10108198
openb-pod-0253,3152,5600,1,1000,,BE,Failed,10108262,10108435,10108262
openb-pod-0254,8000,30517,1,470,,BE,Running,10108896,10109258,10109202
openb-pod-0255,9810,41560,1,1000,,LS,Running,10110007,10110189,10110009
openb-pod-0256,9810,41560,1,1000,,LS,Running,10110042,10110346,10110147
openb-pod-0257,11908,47104,1,470,,LS,Pending,10110426,10110472,
openb-pod-0258,12000,24576,1,1000,,Burstable,Succeeded,10110515,10114175,10110516
openb-pod-0259,4152,10600,1,810,,BE,Failed,10110888,10111755,10110888
openb-pod-0260,16000,32768,1,1000,,LS,Running,10112199,10113580,10112201
openb-pod-0261,3152,5600,1,1000,,BE,Failed,10112326,10112574,10112393
openb-pod-0262,4152,10600,1,810,,BE,Failed,10112685,10214504,10112753
openb-pod-0263,3152,5600,1,810,,BE,Failed,10112996,10113143,10112996
openb-pod-0264,3152,5600,1,810,,BE,Pending,10113572,10113577,
openb-pod-0265,8000,30517,1,230,,BE,Running,10114193,10124384,10114194
openb-pod-0266,3152,5600,1,1000,,BE,Failed,10114274,10114552,10114343
openb-pod-0267,8000,16384,1,1000,,LS,Running,10115077,10116461,10115080
openb-pod-0268,16000,32768,1,1000,,LS,Running,10117363,10118573,10117399
openb-pod-0269,11908,47104,1,470,,LS,Running,10118303,10118493,10118306
openb-pod-0270,18708,64512,1,1000,,LS,Running,10119177,10119353,10119180
openb-pod-0271,8000,32768,1,1000,,LS,Running,10119881,10123308,10119884
openb-pod-0272,4152,10600,1,810,,BE,Failed,10121149,10122159,10121215
